Artist,Title
Justin Bieber,Love Yourself
Justin Bieber,Sorry
Drake feat. WizKid and Kyla,One Dance
Rihanna feat. Drake,Work
twenty one pilots,Stressed Out
Desiigner,Panda
Adele,Hello
Chainsmokers feat. Daya,Don’t Let Me Down
Justin Timberlake,Can’t Stop The Feeling!
Chainsmokers feat. Halsey,Closer
Sia feat. Sean Paul,Cheap Thrills
Lukas Graham,7 Years
Rihanna,Needed Me
Flo Rida,My House
Mike Posner,I Took A Pill In Ibiza
Fifth Harmony feat. Ty Dolla $ign,Work From Home
Calvin Harris feat. Rihanna,This Is What You Came For
DNCE,Cake By The Ocean
G-Eazy x Bebe Rexha,"Me, Myself and I"
twenty one pilots,Ride
twenty one pilots,Heathens
Zayn,Pillowtalk
Shawn Mendes,Stitches
Drake,Hotline Bling
Major Lazer feat. Justin Bieber and MO,Cold Water
Adele,Send My Love (To Your New Lover)
Chainsmokers feat. Rozes,Roses
Shawn Mendes,Treat You Better
Drake feat. Rihanna,Too Good
Future feat. The Weeknd,Low Life
Justin Bieber,What Do You Mean?
Weeknd,The Hills
Pink,Just Like Fire
D.R.A.M. feat. Lil Yachty,Broccoli
Bryson Tiller,Don’t
Ariana Grande,Dangerous Woman
Drake and Future,Jumpman
gnash feat. Olivia O’Brien,I Hate U I Love U
Alessia Cara,Here
Selena Gomez,Same Old Love
Drake,Controlla
Meghan Trainor feat. John Legend,Like I’m Gonna Lose You
Charlie Puth,One Call Away
James Bay,Let It Go
Meghan Trainor,No
Zara Larsson and MNEK,Never Forget You
DJ Snake feat. Justin Bieber,Let Me Love You
Kent Jones,Don’t Mind
Florida Georgia Line,H.O.L.Y.
Charlie Puth feat. Selena Gomez,We Don’t Talk Anymore
Ariana Grande,Into You
Kiiara,Gold
Bryson Tiller,Exchange
Fetty Wap feat. Remy Boyz,679
Jeremih,Oui
Selena Gomez,Hands To Myself
Kevin Gates,2 Phones
Weeknd feat. Daft Punk,Starboy
DJ Khaled feat. Drake,For Free
Flume feat. Kai,Never Be Like You
Weeknd,In The Night
Meghan Trainor,Me Too
Elle King,Ex’s and Oh’s
Thomas Rhett,Die A Happy Man
Post Malone,White Iverson
Nick Jonas feat. Tove Lo,Close
X Ambassadors,Unsteady
"Lil Wayne, Wi",Sucker For Pain
Yo Gotti feat. Nicki Minaj,Down In The Dm
Tory Lanez,Luv
Beyonce,Sorry
Weeknd,Can’t Feel My Face
Coldplay,Hymn For The Weekend
Tory Lanez,Say It
Travis Scott,Antidote
Ruth B,Lost Boy
Ariana Grande feat. Nicki Minaj,Side To Side
Daya,"Sit Still, Look Pretty"
Taylor Swift,Wildest Dreams
DJ Snake feat. Bipolar Sunshine,Middle
Ellie Goulding,On My Mind
Drake feat. The Throne,Pop Style
Adele,When We Were Young
Daya,Hide Away
Major Lazer and DJ Snake feat. MO,Lean On
Shawn Mendes and Camila Cabello,I Know What You Did Last Summer
"Fat Joe, Rem",All The Way Up
Silento,Watch Me
Chris Brown,Back To Sleep
Usher feat. Young Thug,No Limit
O.T. Genasis feat. Young Dolph,Cut It
Kevin Gates,Really Really
Fifth Harmony feat. Fetty Wap,All In My Head (Flex)
Hailee Steinfeld and Grey feat. Zedd,Starving
Coldplay,Adventure Of A Lifetime
Tim McGraw,Humble And Kind
Future,Wicked
Desiigner,Tiimmy Turner
Wiz Khalifa feat. Charlie Puth,See You Again
One Direction,Perfect
