,Artist,Title
0,Lifehouse,Hanging By A Moment
1,Alicia Keys,Fallin’
2,Janet Jackson,All For You
3,Train,Drops Of Jupiter (Tell Me)
4,Jennifer Lopez feat. Ja Rule,I’m Real
5,matchbox twenty,If You’re Gone
6,Eve feat. Gwen Stefani,Let Me Blow Ya Mind
7,Dido,Thank You
8,Lenny Kravitz,Again
9,Destiny’s Child,Independent Women
10,Blu Cantrell,Hit ‘Em Up Style (Oops!)
11,Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me
12,Joe feat. Mystikal,Stutter
13,Staind,It’s Been Awhile
14,Usher,U Remind Me
15,Jagged Edge With Nelly,Where The Party At
16,Shaggy feat. Rayvon,Angel
17,Nelly feat. City Spud,Ride Wit Me
18,Uncle Kracker,Follow Me
19,112,Peaches & Cream
20,Incubus,Drive
21,City High,What Would You Do?
22,Destiny’s Child,Survivor
23,"Christina Aguilera, Lil’ Kim, Mya and Pink",Lady Marmalade
24,Outkast,Ms. Jackson
25,Jennifer Lopez,Love Don’t Cost A Thing
26,Faith Hill,The Way You Love Me
27,Dream,He Loves You Not
28,Crazy Town,Butterfly
29,Ja Rule feat. Lil’ Mo and Vita,Put It On Me
30,Mary J. Blige,Family Affair
31,Lee Ann Womack and Sons Of The Desert,I Hope You Dance
32,Moby feat. Gwen Stefani,South Side
33,Madonna,Don’t Tell Me
34,Missy Elliott,Get Ur Freak On
35,K-Ci and JoJo,Crazy
36,Craig David,Fill Me In
37,Janet Jackson,Someone To Call My Lover
38,Creed,With Arms Wide Open
39,Mya,Case Of The Ex (Whatcha Gonna Do)
40,O-Town,All Or Nothing
41,Destiny’s Child,Bootylicious
42,Nelly Furtado,I’m Like A Bird
43,3 Doors Down,Kryptonite
44,R. Kelly feat. Jay-Z,Fiesta
45,Sugar Ray,When It’s Over
46,Aerosmith,Jaded
47,Jagged Edge,Promise
48,Case,Missing You
49,Ginuwine,Differences
50,‘N Sync,This I Promise You
51,Jay-Z,Izzo (H.O.V.A.)
52,Lil’ Mo feat. Fabolous,Superwoman Pt. II
53,Evan And Jaron,Crazy For This Girl
54,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely
55,Jay-Z,I Just Wanna Love U (Give It 2 Me)
56,Missy Elliott,One Minute Man
57,Mystikal feat. Nivea,Danger (Been So Long)
58,Enya,Only Time
59,Toya,I Do!!
60,S Club 7,Never Had A Dream Come True
61,Tamia,Stranger In My House
62,Jessica Simpson,Irresistible
63,Sunshine Anderson,Heard It All Before
64,Dave Matthews Band,The Space Between
65,Faith Hill,There You’ll Be
66,Musiq Soulchild,Love
67,112,It’s Over Now
68,3LW,No More (Baby I’ma Do Right)
69,Nelly Furtado,Turn Off The Light
70,Brooks and Dunn,Ain’t Nothing `Bout You
71,Jennifer Lopez,Play
72,Lonestar,I’m Already There
73,Lil’ Romeo,My Baby
74,U2,Beautiful Day
75,Blake Shelton,Austin
76,Ludacris,Southern Hospitality
77,Tim McGraw,Grown Men Don’t Cry
78,Ja Rule feat. Case,Livin’ It Up
79,Mariah Carey feat. Cameo,Loverboy
80,Isley Brothers,Contagious
81,Jessica Andrews,Who I Am
82,Erick Sermon feat. Marvin Gaye,Music
83,Willa Ford,I Wanna Be Bad
84,Kenny Chesney,Don’t Happen Twice
85,Diamond Rio,One More Day
86,R. Kelly,I Wish
87,Travis Tritt,It’s A Great Day To Be Alive
88,Trick Daddy,I’m A Thug
89,Eve 6,Here’s To The Night
90,Toby Keith,You Shouldn’t Kiss Me Like This
91,Eden’s Crush,Get Over Yourself
92,Debelah Morgan,Dance With Me
93,Outkast,"So Fresh, So Clean"
94,Nelly,E.I.
95,3 Doors Down,Be Like That
96,P!nk,Most Girls
97,QB’s Finest feat. Nas and Braveheart’s,Oochie Wally
98,Enrique Iglesias,Hero
99,Fuel,Hemorrhage (In My Hands)
100,Nickelback,How Your Remind Me
101,Ashanti,Foolish
102,Nelly,Hot in Herre
103,Nelly feat. Kelly Rowland,Dilemma
104,The Calling,Wherever you Will Go
105,Vanessa Carlton,A Thousand Miles
106,Linkin Park,In the End
107,Fat Joe feat. Ashanti,What’s Luv?
108,Usher,U Got it Bad
109,Puddle Of Mudd,Blurry
110,Avril Lavigne,Complicated
111,Ja Rule feat. Ashanti,Always on Time
112,Jennifer Lopez feat. Ja Rule,Ain’t it Funny
113,Jimmy Eat World,The Middle
114,P. Diddy feat. Usher and Loon,I Need a Girl (Part One)
115,Usher,U Don’t have to Call
117,"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri",I Need a Girl (Part Two)
118,Eve feat. Alicia Keys,Gangsta Lovin’
119,Creed,My Sacrifice
120,Eminem,Without Me
121,Enrique Iglesias,Hero
122,Michelle Branch,All You Wanted
123,P!nk,Get the Party Started
124,Chad Kroeger feat. Josey Scott,Hero
125,Default,Wasting My Time
126,Creed,One Last Breath
127,Shakira,"Whenever, Wherever"
128,Jennifer Lopez feat. Nas,I’m Gonna Be Alright
129,Cam’ron feat. Juelz Santana,Oh Boy
130,DJ Sammy and Yanou feat. Do,Heaven
131,No Doubt feat. Bounty Killer,Hey Baby
132,‘N Sync feat. Nelly,Girlfriend
133,Mario,Just a Friend 2002
134,Sheryl Crow,Soak up the Sun
135,P!nk,Don’t Let Me Get Me
136,N.O.R.E.,Nothin’
137,Tweet,Oops (Oh My)
138,Kelly Clarkson,A Moment Like This
139,Truth Hurts feat. Rakim,Addictive
140,Ashanti,Happy
141,John Mayer,No Such Thing
142,P!nk,Just Like a Pill
143,"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita",Down 4 U
144,Kylie Minogue,Can’t Get You Out Of My Head
145,Five For Fighting,Superman (It’s not Easy)
146,Eminem,Cleanin’ out my Closet
147,Musiq,Halfcrazy
148,Mr. Cheeks,"Lights, Camera, Action!"
149,Big Tymers,Still Fly
150,Alicia Keys,A Woman’s Worth
151,Craig David,7 Days
152,"Cam’ron feat. Juelz Santana, Freekey Zekey and Toya",Hey Ma
153,Missy “Misdemeanor” Elliott,Work It
154,Ludacris feat. Mystikal and Infamous 2.0,Move Bitch
155,LeAnn Rimes,Can’t Fight the Moonlight
156,Enrique Iglesias,Escape
157,Aaliyah,More than a Woman
158,No Doubt,Hella Good
159,Faith Evans,I Love You
160,Daniel Bedingfield,Gotta Get Thru This
161,Busta Rhymes feat. P. Diddy and Pharrell,Pass the Courvoisier Part II
162,Eminem,Lose Yourself
163,Michael Jackson,Butterflies
164,Brandy,What About Us?
165,Shakira,Underneath your Clothes
166,Mary J. Blige feat. Ja Rule,Rainy Dayz
168,Angie Martinez feat. Lil’ Mo and Sacario,If I could Go!
169,OutKast feat. Killer Mike,The Whole World
170,No Doubt feat. Lady Saw,Underneath it All
171,City High feat. Eve,Caramel
172,LL Cool J,Luv U Better
173,Sean Paul,Gimme the Light
174,‘N Sync,Gone
175,Ja Rule feat. Case,Livin’ it Up
176,Ludacris,Roll Out (My Business)
177,Goo Goo Dolls,Here is Gone
178,Mary J. Blige,No More Drama
179,Dirty Vegas,Days go By
180,Ashanti,Baby
181,Kenny Chesney,The Good Stuff
182,Fat Joe feat. R. Kelly,We Thuggin’
183,Steve Holy,Good Morning Beautiful
184,Aaliyah,Rock the Boat
185,Alan Jackson,Drive (For Daddy Gene)
186,Jewel,Standing Still
187,Jaheim feat. Next,Anything
188,Brandy,Full Moon
189,B2K,Uh Huh
190,Celine Dion,A New Day has Come
191,Nelly Furtado,Turn Off the Light
192,George Strait,Living and Living Well
193,Toby Keith,My List
194,Alanis Morissette,Hands Clean
195,Avril Lavigne,Sk8er Boi
196,Dixie Chicks,Long Time Gone
197,Alan Jackson,Where Were You (When the World Stopped Turning)
198,Justin Timberlake,Like I Love You
200,50 Cent,In Da Club
201,R. Kelly,Ignition
202,Sean Paul,Get Busy
203,Beyonce feat. Jay-Z,Crazy in Love
204,3 Doors Down,When I’m Gone
205,matchbox twenty,Unwell
206,Chingy,Right Thurr
207,Aaliyah,Miss You
208,Kid Rock feat. Sheryl Crow,Picture
209,Evanescence feat. Paul McCoy,Bring me to Life
210,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low
211,Beyonce feat. Sean Paul,Baby Boy
212,"Nelly, P. Diddy and Murphy Lee",Shake ya Tailfeather
213,50 Cent feat. Nate Dogg,21 Questions
214,Jennifer Lopez feat. LL Cool J,All I Have
215,Christina Aguilera,Beautiful
