,Title,Artist,URI
0,hanging by a moment,lifehouse,0wqOReZDnrefefEsrIGeR4
1,fallin’,alicia keys,0KQx6HOpJueiSkztcS0r7D
2,all for you,janet jackson,5X8kkUaUlAyAUr9TYqDFTH
3,drops of jupiter (tell me),train,2hKdd3qO7cWr2Jo0Bcs0MA
4,i’m real,jennifer lopez feat. ja rule,6MLsahMK3VvH9NUwXOktdS
5,if you’re gone,matchbox twenty,2f5N826udWfjT9iomeaBJt
6,let me blow ya mind,eve feat. gwen stefani,3RmKpob8xzv1pzHEQrMJah
7,thank you,dido,3yUcJwYu7fXAfqMj9krY6l
8,again,lenny kravitz,5c1QJAiC3773EwiZLwHf5x
9,independent women,destiny’s child,4DN7KcunIwOmH5JCDX8lwM
10,hit ‘em up style (oops!),blu cantrell,4zYTZvtcww7OWKie7fxA9E
11,it wasn’t me,shaggy feat. ricardo “rikrok” ducent,3WkibOpDF7cQ5xntM1epyf
12,stutter,joe feat. mystikal,7FWuzwapuKHTEyDJIcQOw3
13,it’s been awhile,staind,25CMmGsl22APKhfuj4Tp7j
14,u remind me,usher,2QsZVnbWVSjKMXK6K3uRBL
15,where the party at,jagged edge with nelly,5mNV8Mz59bzyuQ53gTw0c0
16,angel,shaggy feat. rayvon,7FDV5ELOJHCGLe52AnttEd
17,ride wit me,nelly feat. city spud,3c6T4viNQ1FqPD75Q2agI4
18,follow me,uncle kracker,4KoecuyOpZaNFZ0UqVsllc
19,peaches & cream,112,2SLZ2rX5773RS16mcqBxG7
20,drive,incubus,7nnWIPM5hwE3DaUBkvOIpy
21,what would you do?,city high,1tJkic0TURTCXw3rBhYgWu
22,survivor,destiny’s child,2Mpj1Ul5OFPyyP4wB62Rvi
23,lady marmalade,"christina aguilera, lil’ kim, mya and pink",3uRUbppUFPsmrccRXSDAjE
24,ms. jackson,outkast,0I3q5fE6wg7LIfHGngUTnV
25,love don’t cost a thing,jennifer lopez,1fgvJXlcZ7uIddMpqsqw0L
26,the way you love me,faith hill,6vgN6KGstss0GnBbKlMNK9
27,he loves you not,dream,2ozJmnjqCMJavEKoHqiou0
28,butterfly,crazy town,4BggEwLhGfrbrl7JBhC8EC
29,put it on me,ja rule feat. lil’ mo and vita,0OvwzS8FX73Bw7ykMRmffU
30,family affair,mary j. blige,3aw9iWUQ3VrPQltgwvN9Xu
31,i hope you dance,lee ann womack and sons of the desert,65B1tEOv5W294uCKbmEcFV
32,south side,moby feat. gwen stefani,49bUJjrC16NgnrgGS75Yan
33,don’t tell me,madonna,7DOtIhTTpPZyjvbO509hSC
34,get ur freak on,missy elliott,6zsk6uF3MxfIeHPlubKBvR
35,crazy,k-ci and jojo,74irxdVWstNlEQjsvArITq
36,fill me in,craig david,0UzsDmdpw0Q14KU4hieQss
37,someone to call my lover,janet jackson,43zr9kKkeiQrshvYuvNtfM
38,with arms wide open,creed,0eKyHwckh9vQb8ncZ2DXCs
39,case of the ex (whatcha gonna do),mya,1ak0S3NhwWrUgNlQhJ1412
40,all or nothing,o-town,1TBIHWmr1r34J2s0eSfA7U
41,bootylicious,destiny’s child,41nT1Sp6ChR65FbsdLlFHW
42,i’m like a bird,nelly furtado,2aGw77pZqli064JiPuXYRi
43,kryptonite,3 doors down,6ZOBP3NvffbU4SZcrnt1k6
44,fiesta,r. kelly feat. jay-z,77S8pBH3ilaDIPmTJkRNQn
45,when it’s over,sugar ray,5ZsPy9wHH733NlU6c4v2Hi
46,jaded,aerosmith,4iihDHIoKZdOeOW1kFDUtR
47,promise,jagged edge,1X1KDnhTnb28tpJlgOV3lD
48,missing you,case,0CmXXEwul09Kf8X68lPA5l
