,Title,Artist,URI,Target,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,hanging by a moment,lifehouse,0wqOReZDnrefefEsrIGeR4,1,0.541,0.864,1.0,-4.915,1.0,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067.0,4.0
1,fallin’,alicia keys,0KQx6HOpJueiSkztcS0r7D,1,0.652,0.609,11.0,-7.519,0.0,0.037,0.263,0.00101,0.233,0.482,95.986,210200.0,3.0
2,all for you,janet jackson,5X8kkUaUlAyAUr9TYqDFTH,1,0.753,0.934,2.0,-3.011,1.0,0.0736,0.0174,0.065,0.128,0.73,113.525,329933.0,3.0
3,drops of jupiter (tell me),train,2hKdd3qO7cWr2Jo0Bcs0MA,1,0.481,0.638,0.0,-5.862,1.0,0.0276,0.153,0.0,0.154,0.497,79.064,259933.0,4.0
4,i’m real,jennifer lopez feat. ja rule,6MLsahMK3VvH9NUwXOktdS,1,0.708,0.587,11.0,-7.93,0.0,0.151,0.273,0.0,0.0718,0.554,83.46,262133.0,4.0
5,if you’re gone,matchbox twenty,2f5N826udWfjT9iomeaBJt,1,0.544,0.659,9.0,-7.191,1.0,0.0298,0.427,1.33e-06,0.126,0.361,109.933,274933.0,4.0
6,let me blow ya mind,eve feat. gwen stefani,3RmKpob8xzv1pzHEQrMJah,1,0.908,0.557,8.0,-4.243,0.0,0.107,0.242,0.0,0.0709,0.897,90.032,230133.0,4.0
7,thank you,dido,3yUcJwYu7fXAfqMj9krY6l,1,0.725,0.583,1.0,-9.942,0.0,0.0427,0.3,0.000238,0.0665,0.762,79.984,218360.0,4.0
8,again,lenny kravitz,5c1QJAiC3773EwiZLwHf5x,1,0.55,0.804,2.0,-5.218,1.0,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,231667.0,4.0
9,independent women,destiny’s child,4DN7KcunIwOmH5JCDX8lwM,1,0.725,0.578,11.0,-6.707,1.0,0.0734,0.49,0.0,0.111,0.534,119.964,208449.0,4.0
